"filename", "language", "Markdown", "C", "C++", "Makefile", "CMake", "Python", "YAML", "Ruby", "Shell Script", "Properties", "Handlebars", "JSON", "reStructuredText", "HTML", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"c:\Users\slj\Desktop\Elabel\CMakeLists.txt", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\slj\Desktop\Elabel\Makefile", "Makefile", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 9
"c:\Users\slj\Desktop\Elabel\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 33
"c:\Users\slj\Desktop\Elabel\Squareline UI\components\ui_comp_hook.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\slj\Desktop\Elabel\components\Codec\CMakeLists.txt", "CMake", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\slj\Desktop\Elabel\components\Codec\codec.cpp", "C++", 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 41, 322
"c:\Users\slj\Desktop\Elabel\components\Codec\include\codec.hpp", "C++", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 92
"c:\Users\slj\Desktop\Elabel\components\Codec\include\codec_utils.hpp", "C++", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 135
"c:\Users\slj\Desktop\Elabel\components\control_driver\CMakeLists.txt", "CMake", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\slj\Desktop\Elabel\components\control_driver\button.cpp", "C++", 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 81, 496
"c:\Users\slj\Desktop\Elabel\components\control_driver\buzzer.cpp", "C++", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 186
"c:\Users\slj\Desktop\Elabel\components\control_driver\callback.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\slj\Desktop\Elabel\components\control_driver\control_driver.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 54
"c:\Users\slj\Desktop\Elabel\components\control_driver\encoder.cpp", "C++", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 77
"c:\Users\slj\Desktop\Elabel\components\control_driver\include\button.hpp", "C++", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 49
"c:\Users\slj\Desktop\Elabel\components\control_driver\include\buzzer.hpp", "C++", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 75
"c:\Users\slj\Desktop\Elabel\components\control_driver\include\callback.hpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 78
"c:\Users\slj\Desktop\Elabel\components\control_driver\include\control_driver.hpp", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 55
"c:\Users\slj\Desktop\Elabel\components\control_driver\include\encoder.hpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\CMakeLists.txt", "CMake", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 98
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\CONTRIBUTE_CONTROLLER_SUPPORT.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 53
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\README.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 96
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\component.mk", "Makefile", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 51
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\lvgl_helpers.c", "C", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 39, 199
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\lvgl_helpers.h", "C++", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 16, 115
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\lvgl_i2c\README.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 91
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\lvgl_i2c\i2c_manager.c", "C", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 74, 369
"c:\Users\slj\Desktop\Elabel\components\lvgl_esp32_drivers\lvgl_i2c\i2c_manager.h", "C++", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 77
